# Trxs based on CSIRO UWB Trxs + 5K to account for
# ground scattering off of AO platform
# gain scaled by effective dish area
#freq	Trx		G	eps
0.704	38.0645770651	9.84	0.01
0.832	31.1230413161	8.51	0.01
0.96	22.7527937439	7.16	0.01
1.088	23.1530131342	7.16	0.01
1.216	23.4206658413	7.16	0.01
1.344	24.607085361	8.36	0.01
1.472	24.741302385	7.9	0.01
1.6	23.840635756	8.24	0.01
1.728	23.9158838791	8.0	0.01
1.856	23.9740343445	7.55	0.01
1.984	24.0197542929	7.55	0.01
2.112	21.0562474052	6.52	0.01
2.24	23.0857658743	6.66	0.01
2.368	23.1099265783	6.66	0.01
2.496	23.1299121073	6.66	0.01
2.624	23.1466019137	6.33	0.01
2.752	22.1606598612	6.34	0.01
2.88	22.1725938861	6.34	0.01
3.008	23.1827974143	6.66	0.01
3.136	22.1915786041	5.75	0.01
3.264	22.1991813104	5.49	0.01
3.392	23.2058003287	5.9	0.01
3.52	25.2115926221	5.92	0.01
3.648	25.2166856896	5.36	0.01
3.776	27.221183872	4.41	0.01
3.904	29.2251731536	4.64	0.01
